oof_prob_CANDIDATE,oof_prob_CONFIRMED,oof_prob_FALSE POSITIVE,label_text
0.04502696916460991,0.9540252685546875,0.0009476925479248166,CONFIRMED
0.0023103533312678337,0.9974660873413086,0.0002235911088064313,CONFIRMED
0.0413651242852211,0.9577680826187134,0.0008667707443237305,CONFIRMED
0.021152829751372337,0.9767667651176453,0.002080353442579508,CANDIDATE
0.5752423405647278,0.41096410155296326,0.013793518766760826,CANDIDATE
0.48132529854774475,0.5120517015457153,0.006622994318604469,CANDIDATE
0.4424963891506195,0.4451632797718048,0.11234031617641449,CANDIDATE
0.02779652737081051,0.9698957800865173,0.0023077577352523804,CANDIDATE
0.9624060988426208,0.03719807416200638,0.0003958547313231975,CANDIDATE
0.9294041991233826,0.07028118520975113,0.0003145908995065838,CANDIDATE
0.9898082613945007,0.0052209170535206795,0.004970851819962263,CANDIDATE
0.8051426410675049,0.17271403968334198,0.0221432913094759,CANDIDATE
0.33542168140411377,0.6637271046638489,0.0008511815685778856,CANDIDATE
0.21475565433502197,0.7747663855552673,0.010478000156581402,CONFIRMED
0.9342695474624634,0.04689357802271843,0.018836943432688713,CANDIDATE
0.888990044593811,0.014189616777002811,0.09682027250528336,CANDIDATE
0.9297975301742554,0.01747157610952854,0.052730925381183624,CANDIDATE
0.9616314172744751,0.019513621926307678,0.01885494403541088,CANDIDATE
0.8755095601081848,0.12140433490276337,0.0030860756523907185,CANDIDATE
0.5667740106582642,0.4325450658798218,0.000680895580444485,CANDIDATE
0.9783722758293152,0.0055811768397688866,0.01604655012488365,CANDIDATE
0.06619994342327118,0.9309172630310059,0.0028828103095293045,CONFIRMED
0.9482638835906982,0.05119982734322548,0.0005362743395380676,CONFIRMED
0.46436789631843567,0.5340107083320618,0.001621381612494588,CANDIDATE
0.7269460558891296,0.2686389088630676,0.004415001254528761,CANDIDATE
0.9684152007102966,0.03111499920487404,0.00046984275104478,CANDIDATE
0.786998450756073,0.2105739563703537,0.0024275726173073053,CANDIDATE
0.9325388073921204,0.0663999542593956,0.0010612853802740574,CANDIDATE
0.9593077301979065,0.02680566906929016,0.013886612839996815,CANDIDATE
0.9782571792602539,0.020020922645926476,0.00172195746563375,CANDIDATE
0.949893593788147,0.013049538247287273,0.037056878209114075,CANDIDATE
0.946278989315033,0.043643753975629807,0.010077309794723988,FALSE POSITIVE
0.7788600921630859,0.0016424237983301282,0.21949748694896698,FALSE POSITIVE
0.11185189336538315,0.8880730271339417,7.507235568482429e-05,CANDIDATE
0.8920491337776184,0.10550490766763687,0.0024459282867610455,CANDIDATE
0.926957368850708,0.06954061985015869,0.0035019901115447283,CANDIDATE
0.9385968446731567,0.06019534915685654,0.0012077473802492023,CANDIDATE
0.2744617164134979,0.7171488404273987,0.008389497175812721,CANDIDATE
0.6939567923545837,0.2573147714138031,0.04872843250632286,CANDIDATE
0.3999664783477783,0.20342032611370087,0.396613210439682,CANDIDATE
0.9475972056388855,0.02358119934797287,0.028821637853980064,CANDIDATE
0.7061632871627808,0.2852003872394562,0.00863640382885933,CANDIDATE
0.7156006097793579,0.27544966340065,0.00894971750676632,CANDIDATE
0.689249575138092,0.04093196615576744,0.2698184549808502,CANDIDATE
0.1788974553346634,0.024188606068491936,0.7969139814376831,FALSE POSITIVE
0.025553777813911438,0.005102543625980616,0.9693436622619629,FALSE POSITIVE
0.19255925714969635,0.0021117134019732475,0.8053290843963623,FALSE POSITIVE
0.059542227536439896,0.005800420418381691,0.9346573948860168,FALSE POSITIVE
0.2356439083814621,0.0186269860714674,0.7457291483879089,FALSE POSITIVE
0.8911359310150146,0.10717263072729111,0.001691419747658074,CANDIDATE
0.10317770391702652,0.8960814476013184,0.0007408880046568811,CANDIDATE
0.28791308403015137,0.7048591375350952,0.007227802183479071,CANDIDATE
0.9710192084312439,0.01028381660580635,0.01869693025946617,CANDIDATE
0.3811758756637573,0.6174972653388977,0.0013268119655549526,CANDIDATE
0.6323626041412354,0.36317285895347595,0.004464515019208193,CANDIDATE
0.01955072022974491,0.9796537160873413,0.0007955565815791488,CANDIDATE
0.964740514755249,0.01100896392017603,0.024250486865639687,CANDIDATE
0.35433048009872437,0.5776728987693787,0.06799665838479996,CONFIRMED
0.9199260473251343,0.07976113259792328,0.00031283474527299404,CANDIDATE
